loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun)
2680,HD 196067 b,HD 196067,1,2,1,0,Radial Velocity,3638.0,5.02,,6.9,0.66,,G1 V,6017.0,1.73,1.29,0.18,[Fe/H],0.572,3.3,39.9346,0.006586740000000001
2681,HD 19615 b,HD 19615,1,1,1,0,Radial Velocity,402.0,1.1,,8.5,0.2,,K0,4263.0,32.3,1.1,-0.31,[Fe/H],2.515,6.7,265.155,0.0081141
2683,HD 196885 A b,HD 196885 A,1,2,1,0,Radial Velocity,1333.0,2.37,,2.58,0.48,,,6254.0,1.31,1.28,0.22,[Fe/H],0.38,3.12,34.1692,0.002462868
2685,HD 197037 b,HD 197037,1,2,1,0,Radial Velocity,1035.7,2.07,,0.79,0.22,,F7 V,6150.0,,1.11,-0.2,[Fe/H],,1.9,33.1944,0.0007541340000000001
2686,HD 199509 b,HD 199509,1,1,1,0,Radial Velocity,99.62167,0.426,,0.136,0.373,,,,,1.04,,,,,24.3056,0.0001298256
2688,HD 19994 b,HD 19994,1,3,1,0,Radial Velocity,466.2,1.305,,1.37,0.063,,F8 V,6188.0,,1.36,0.27,[Fe/H],,,22.5242,0.001307802
2689,HD 20003 b,HD 20003,1,1,2,0,Radial Velocity,11.8482,0.0974,,0.0367,0.36,,G8 V,5494.0,,0.88,0.04,[Fe/H],-0.143,,41.8316,3.5033820000000005e-05
2690,HD 20003 c,HD 20003,1,1,2,0,Radial Velocity,33.9239,0.1964,,0.0454,0.1,,G8 V,5494.0,,0.88,0.04,[Fe/H],-0.143,,41.8316,4.333884e-05
2692,HD 200964 b,HD 200964,1,1,2,0,Radial Velocity,606.3,1.565,,1.599,0.087,,,4982.0,4.92,1.39,,,,,72.5922,0.0015264054
2694,HD 200964 c,HD 200964,1,1,2,0,Radial Velocity,852.5,1.96,,1.214,0.243,,,4982.0,4.92,1.39,,,,,72.5922,0.0011588844
2696,HD 202206 c,HD 202206,1,2,1,0,Radial Velocity,1260.0,2.41,,17.9,0.22,7.7,G6 V,5766.0,1.04,1.07,0.3,[Fe/H],,2.9,45.9665,0.01708734
2699,HD 202696 b,HD 202696,1,1,2,0,Radial Velocity,517.8,1.566,,1.996,0.011,90.0,K0 III-IV,5040.0,6.43,1.91,0.02,[Fe/H],1.369,1.32,188.546,0.0019053816
2700,HD 202696 c,HD 202696,1,1,2,0,Radial Velocity,946.6,2.342,,1.864,0.028,90.0,K0 III-IV,5040.0,6.43,1.91,0.02,[Fe/H],1.369,1.32,188.546,0.0017793744000000002
