loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist
25458,Kepler-443 b,Kepler-443,0,1,1,0,Transit,177.669112,0.5724,,,0,89.95,,4907,0.74,0.79,0.04,[Fe/H],,,802.271
25459,Kepler-443 b,Kepler-443,0,1,1,0,Transit,177.669112,0.5724,,,0,89.95,,4907,0.74,0.79,0.04,[Fe/H],,,802.271
25460,Kepler-443 b,Kepler-443,0,1,1,0,Transit,177.6741289,,,,,,,4696,0.79,0.75,,,-0.566,,802.271
25461,Kepler-443 b,Kepler-443,0,1,1,0,Transit,177.6747747,,,,,,,4696,0.79,0.75,,,-0.566,,802.271
25462,Kepler-443 b,Kepler-443,0,1,1,0,Transit,177.669112,0.5724,,,0,89.95,,4907,0.74,0.79,0.04,[Fe/H],,,802.271
25463,Kepler-443 b,Kepler-443,0,1,1,0,Transit,177.669112,,0.198,,,,,4920,0.75,0.8,0.02,[Fe/H],,4.79,802.271
25464,Kepler-443 b,Kepler-443,0,1,1,0,Transit,177.668663,,,,,,,4696,0.79,0.75,,,-0.566,,802.271
25465,Kepler-443 b,Kepler-443,1,1,1,0,Transit,177.6693,0.495,0.21,,0.11,89.94,,4723,0.71,0.74,-0.01,[Fe/H],-0.664,3.2,802.271
25466,Kepler-444 b,Kepler-444,0,3,5,0,Transit,3.60010616,0.0392,,,0,88.24,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25467,Kepler-444 b,Kepler-444,0,3,5,0,Transit,3.60011712,0.0407,,,0,89.88,,5051,0.72,0.69,-0.36,[Fe/H],,,36.4396
25468,Kepler-444 b,Kepler-444,0,3,5,0,Transit,3.60011712,,,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25469,Kepler-444 b,Kepler-444,0,3,5,0,Transit,3.60010616,0.0392,,,0,88.24,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25470,Kepler-444 b,Kepler-444,0,3,5,0,Transit,3.60011885,,,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25471,Kepler-444 b,Kepler-444,1,3,5,0,Transit,3.6001053,0.04178,0.036,,0.16,88,K,5046,0.75,0.76,-0.55,[Fe/H],,11.23,36.4396
25472,Kepler-444 b,Kepler-444,0,3,5,0,Transit,3.6001053,0.040286,0.031,,0,,,,,0.67,,,,,36.4396
25473,Kepler-444 b,Kepler-444,0,3,5,0,Transit,,,0.051,,,,,4947,0.83,,,,,,36.4396
25474,Kepler-444 c,Kepler-444,0,3,5,0,Transit,4.54586982,,,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25475,Kepler-444 c,Kepler-444,0,3,5,0,Transit,4.54587844,0.0458,,,0,88.81,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25476,Kepler-444 c,Kepler-444,0,3,5,0,Transit,,,0.067,,,,,4947,0.83,,,,,,36.4396
25477,Kepler-444 c,Kepler-444,1,3,5,0,Transit,4.5458841,0.04881,0.044,,0.31,88.2,K,5046,0.75,0.76,-0.55,[Fe/H],,11.23,36.4396
25478,Kepler-444 c,Kepler-444,0,3,5,0,Transit,4.54587844,,6.705,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25479,Kepler-444 c,Kepler-444,0,3,5,0,Transit,4.54586974,,,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25480,Kepler-444 c,Kepler-444,0,3,5,0,Transit,4.54587844,0.0458,,,0,88.81,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25481,Kepler-444 c,Kepler-444,0,3,5,0,Transit,4.5458841,0.047064,0.039,,0,,,,,0.67,,,,,36.4396
25482,Kepler-444 c,Kepler-444,0,3,5,0,Transit,4.54587844,0.0458,,,0,88.81,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25483,Kepler-444 c,Kepler-444,0,3,5,0,Transit,4.54586982,0.0475,,,0,88.05,,5051,0.72,0.69,-0.36,[Fe/H],,,36.4396
25484,Kepler-444 d,Kepler-444,0,3,5,0,Transit,6.18937218,,,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25485,Kepler-444 d,Kepler-444,0,3,5,0,Transit,6.18940639,0.0562,,,0,89.38,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25486,Kepler-444 d,Kepler-444,0,3,5,0,Transit,6.18943952,,,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25487,Kepler-444 d,Kepler-444,1,3,5,0,Transit,6.189392,0.06,0.047,,0.18,88.16,K,5046,0.75,0.76,-0.55,[Fe/H],,11.23,36.4396
25488,Kepler-444 d,Kepler-444,0,3,5,0,Transit,6.189,,0.045,0.00063,,,,,,0.7,,,,,36.4396
25489,Kepler-444 d,Kepler-444,0,3,5,0,Transit,,,0.067,,,,,4947,0.83,,,,,,36.4396
25490,Kepler-444 d,Kepler-444,0,3,5,0,Transit,6.18940639,0.0562,,,0,89.38,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25491,Kepler-444 d,Kepler-444,0,3,5,0,Transit,6.18943952,0.0584,,,0,89.01,,5051,0.72,0.69,-0.36,[Fe/H],,,36.4396
25492,Kepler-444 d,Kepler-444,0,3,5,0,Transit,6.18940639,0.0562,,,0,89.38,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25493,Kepler-444 d,Kepler-444,0,3,5,0,Transit,6.189392,0.057815,0.04,,0,,,,,0.67,,,,,36.4396
25494,Kepler-444 d,Kepler-444,0,3,5,0,Transit,6.18940639,,6.229,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25495,Kepler-444 e,Kepler-444,0,3,5,0,Transit,7.743493,0.067128,0.042,,0,,,,,0.67,,,,,36.4396
25496,Kepler-444 e,Kepler-444,0,3,5,0,Transit,7.74347614,0.0653,,,0,88.81,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25497,Kepler-444 e,Kepler-444,0,3,5,0,Transit,7.74347614,0.0653,,,0,88.81,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25498,Kepler-444 e,Kepler-444,0,3,5,0,Transit,,,0.064,,,,,4947,0.83,,,,,,36.4396
25499,Kepler-444 e,Kepler-444,0,3,5,0,Transit,7.74347801,,,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25500,Kepler-444 e,Kepler-444,0,3,5,0,Transit,7.743,,0.045,0.00031,,,,,,0.7,,,,,36.4396
25501,Kepler-444 e,Kepler-444,0,3,5,0,Transit,7.74347801,0.0678,,,0,89.95,,5051,0.72,0.69,-0.36,[Fe/H],,,36.4396
25502,Kepler-444 e,Kepler-444,0,3,5,0,Transit,7.74347614,,7.717,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25503,Kepler-444 e,Kepler-444,1,3,5,0,Transit,7.743493,0.0696,0.049,,0.1,89.13,K,5046,0.75,0.76,-0.55,[Fe/H],,11.23,36.4396
25504,Kepler-444 e,Kepler-444,0,3,5,0,Transit,7.74347614,0.0653,,,0,88.81,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25505,Kepler-444 e,Kepler-444,0,3,5,0,Transit,7.74350338,,,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25506,Kepler-444 f,Kepler-444,1,3,5,0,Transit,9.740486,0.0811,0.066,,0.29,87.96,K,5046,0.75,0.76,-0.55,[Fe/H],,11.23,36.4396
25507,Kepler-444 f,Kepler-444,0,3,5,0,Transit,9.74048418,,8.102,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25508,Kepler-444 f,Kepler-444,0,3,5,0,Transit,9.74048028,,,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25509,Kepler-444 f,Kepler-444,0,3,5,0,Transit,9.74048418,0.0761,,,0,89.95,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25510,Kepler-444 f,Kepler-444,0,3,5,0,Transit,,,0.098,,,,,4947,0.83,,,,,,36.4396
25511,Kepler-444 f,Kepler-444,0,3,5,0,Transit,9.74048418,0.0761,,,0,89.95,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25512,Kepler-444 f,Kepler-444,0,3,5,0,Transit,9.74048418,0.0761,,,0,89.95,,5032,0.59,0.62,-0.96,[Fe/H],,,36.4396
25513,Kepler-444 f,Kepler-444,0,3,5,0,Transit,9.74048508,0.079,,,0,87.58,,5051,0.72,0.69,-0.36,[Fe/H],,,36.4396
25514,Kepler-444 f,Kepler-444,0,3,5,0,Transit,9.740486,0.078223,0.051,,0,,,,,0.67,,,,,36.4396
25515,Kepler-444 f,Kepler-444,0,3,5,0,Transit,9.74048508,,,,,,,5058,0.8,0.84,-0.37,[M/H],-0.425,,36.4396
25516,Kepler-445 b,Kepler-445,0,1,3,0,Transit,2.98415771,,,,,,,3143,0.3,0.28,,,-2.1,,127.201
25517,Kepler-445 b,Kepler-445,0,1,3,0,Transit,,,0.051,,,,,3157,0.19,0.16,,,-2.469,,127.201
25518,Kepler-445 b,Kepler-445,0,1,3,0,Transit,2.98415347,0.0224,,,0,87.66,,3327,0.19,0.17,-0.38,[Fe/H],,,127.201
25519,Kepler-445 b,Kepler-445,0,1,3,0,Transit,2.98415347,0.0224,,,0,87.66,,3327,0.19,0.17,-0.38,[Fe/H],,,127.201
25520,Kepler-445 b,Kepler-445,0,1,3,0,Transit,2.98415347,0.0224,,,0,87.66,,3327,0.19,0.17,-0.38,[Fe/H],,,127.201
25521,Kepler-445 b,Kepler-445,0,1,3,0,Transit,,,0.14,,,,,3157,0.3,,,,,,127.201
25522,Kepler-445 b,Kepler-445,0,1,3,0,Transit,2.98415347,,0.277,,,,,3369,0.42,0.43,0.48,[Fe/H],,6.61,127.201
25523,Kepler-445 b,Kepler-445,0,1,3,0,Transit,2.98415736,,,,,,,3143,0.3,0.28,,,-2.1,,127.201
25524,Kepler-445 b,Kepler-445,0,1,3,0,Transit,2.984151,0.024,,,0,88.24,,3240,0.27,0.21,,,,,127.201
25525,Kepler-445 b,Kepler-445,1,1,3,0,Transit,2.984151,,0.14,,0,89.74,M4,3157,0.21,0.18,0.27,[Fe/H],,,127.201
25526,Kepler-445 b,Kepler-445,0,1,3,0,Transit,2.98415771,0.0217,,,0,88.49,,3157,0.18,0.15,0.26,[Fe/H],,,127.201
25527,Kepler-445 b,Kepler-445,0,1,3,0,Transit,2.9841664,,0.155,,0.02,,,3219,0.35,0.33,0.27,[Fe/H],-1.939,,127.201
25528,Kepler-445 c,Kepler-445,0,1,3,0,Transit,,,0.074,,,,,3157,0.19,0.16,,,-2.469,,127.201
25529,Kepler-445 c,Kepler-445,0,1,3,0,Transit,4.87122222,0.0311,,,0,89.38,,3327,0.19,0.17,-0.38,[Fe/H],,,127.201
25530,Kepler-445 c,Kepler-445,0,1,3,0,Transit,,,0.236,,,,,3157,0.3,,,,,,127.201
25531,Kepler-445 c,Kepler-445,0,1,3,0,Transit,4.87122366,0.0301,,,0,87.88,,3157,0.18,0.15,0.26,[Fe/H],,,127.201
25532,Kepler-445 c,Kepler-445,0,1,3,0,Transit,4.87122222,0.0311,,,0,89.38,,3327,0.19,0.17,-0.38,[Fe/H],,,127.201
25533,Kepler-445 c,Kepler-445,0,1,3,0,Transit,4.87122366,,,,,,,3143,0.3,0.28,,,-2.1,,127.201
25534,Kepler-445 c,Kepler-445,0,1,3,0,Transit,4.87122714,,0.243,,0.01,,,3219,0.35,0.33,0.27,[Fe/H],-1.939,,127.201
25535,Kepler-445 c,Kepler-445,0,1,3,0,Transit,4.871229,0.033,,,0,89.38,,3240,0.27,0.21,,,,,127.201
25536,Kepler-445 c,Kepler-445,0,1,3,0,Transit,4.87122222,,0.41,,,,,3369,0.42,0.43,0.48,[Fe/H],,6.61,127.201
25537,Kepler-445 c,Kepler-445,0,1,3,0,Transit,4.87122933,,,,,,,3143,0.3,0.28,,,-2.1,,127.201
25538,Kepler-445 c,Kepler-445,0,1,3,0,Transit,4.87122222,0.0311,,,0,89.38,,3327,0.19,0.17,-0.38,[Fe/H],,,127.201
25539,Kepler-445 c,Kepler-445,1,1,3,0,Transit,4.871229,,0.22,,0,89.91,M4,3157,0.21,0.18,0.27,[Fe/H],,,127.201
25540,Kepler-445 d,Kepler-445,0,1,3,0,Transit,8.15275885,,0.479,,,,,3369,0.42,0.43,0.48,[Fe/H],,6.61,127.201
25541,Kepler-445 d,Kepler-445,0,1,3,0,Transit,8.15275885,0.0439,,,0,89.38,,3327,0.19,0.17,-0.38,[Fe/H],,,127.201
25542,Kepler-445 d,Kepler-445,0,1,3,0,Transit,8.15275885,,,,,,,3143,0.3,0.28,,,-2.1,,127.201
25543,Kepler-445 d,Kepler-445,0,1,3,0,Transit,,,0.352,,,,,3157,0.3,,,,,,127.201
25544,Kepler-445 d,Kepler-445,1,1,3,0,Transit,8.15275,,0.11,,0,89.61,M4,3157,0.21,0.18,0.27,[Fe/H],,,127.201
25545,Kepler-445 d,Kepler-445,0,1,3,0,Transit,8.15272856,,0.119,,0.01,,,3219,0.35,0.33,0.27,[Fe/H],-1.939,,127.201
25546,Kepler-446 b,Kepler-446,0,1,3,0,Transit,,,0.757,,,,,3359,0.29,0.27,,,-2,,96.339
25547,Kepler-446 b,Kepler-446,0,1,3,0,Transit,1.56541637,,,,,,,3386,0.22,0.19,,,-2.248,,96.339
25548,Kepler-446 b,Kepler-446,0,1,3,0,Transit,1.56541285,,0.193,,,,,3446,0.38,0.4,0.1,[Fe/H],,3.72,96.339
25549,Kepler-446 b,Kepler-446,0,1,3,0,Transit,1.56541285,0.0206,,,0,89.38,,3485,0.46,0.47,0.3,[Fe/H],,,96.339
25550,Kepler-446 b,Kepler-446,0,1,3,0,Transit,,,0.102,,,,,3359,0.22,,,,,,96.339
25551,Kepler-446 b,Kepler-446,0,1,3,0,Transit,1.5654088,0.022,,,0,76.78,,3553,0.92,0.56,,,,,96.339
25552,Kepler-446 b,Kepler-446,1,1,3,0,Transit,1.565409,,0.13,,0,87.42,M4,3359,0.24,0.22,-0.3,[Fe/H],,,96.339
25553,Kepler-446 b,Kepler-446,0,1,3,0,Transit,1.56541285,0.0206,,,0,89.38,,3485,0.46,0.47,0.3,[Fe/H],,,96.339
25554,Kepler-446 b,Kepler-446,0,1,3,0,Transit,1.56541261,,,,,,,3386,0.22,0.19,,,-2.248,,96.339
25555,Kepler-446 b,Kepler-446,0,1,3,0,Transit,1.56541261,0.0182,,,0,89.99,,3464,0.33,0.33,-0.14,[Fe/H],,,96.339
25556,Kepler-446 b,Kepler-446,0,1,3,0,Transit,1.56541222,,,,,,,3386,0.22,0.19,,,-2.248,,96.339
25557,Kepler-446 b,Kepler-446,0,1,3,0,Transit,1.56541285,0.0206,,,0,89.38,,3485,0.46,0.47,0.3,[Fe/H],,,96.339
25558,Kepler-446 c,Kepler-446,0,1,3,0,Transit,3.03621679,0.032,,,0,89.38,,3485,0.46,0.47,0.3,[Fe/H],,,96.339
25559,Kepler-446 c,Kepler-446,0,1,3,0,Transit,3.03621679,0.032,,,0,89.38,,3485,0.46,0.47,0.3,[Fe/H],,,96.339
25560,Kepler-446 c,Kepler-446,0,1,3,0,Transit,3.03620874,0.0283,,,0,89.75,,3464,0.33,0.33,-0.14,[Fe/H],,,96.339
25561,Kepler-446 c,Kepler-446,0,1,3,0,Transit,3.03620874,,,,,,,3386,0.22,0.19,,,-2.248,,96.339
25562,Kepler-446 c,Kepler-446,0,1,3,0,Transit,,,0.083,,,,,3359,0.22,,,,,,96.339
25563,Kepler-446 c,Kepler-446,0,1,3,0,Transit,3.03621679,,0.155,,,,,3446,0.38,0.4,0.1,[Fe/H],,3.72,96.339
25564,Kepler-446 c,Kepler-446,0,1,3,0,Transit,3.03621679,0.032,,,0,89.38,,3485,0.46,0.47,0.3,[Fe/H],,,96.339
25565,Kepler-446 c,Kepler-446,0,1,3,0,Transit,3.0362155,,,,,,,3386,0.22,0.19,,,-2.248,,96.339
25566,Kepler-446 c,Kepler-446,0,1,3,0,Transit,3.03620572,,,,,,,3386,0.22,0.19,,,-2.248,,96.339
25567,Kepler-446 c,Kepler-446,1,1,3,0,Transit,3.036179,,0.1,,0,88.97,M4,3359,0.24,0.22,-0.3,[Fe/H],,,96.339
25568,Kepler-446 d,Kepler-446,0,1,3,0,Transit,5.148921,0.048,,,0,84.22,,3553,0.92,0.56,,,,,96.339
25569,Kepler-446 d,Kepler-446,0,1,3,0,Transit,,,0.757,,,,,3359,0.29,0.27,,,-2,,96.339
25570,Kepler-446 d,Kepler-446,0,1,3,0,Transit,5.1489289,,0.178,,,,,3446,0.38,0.4,0.1,[Fe/H],,3.72,96.339
25571,Kepler-446 d,Kepler-446,1,1,3,0,Transit,5.148921,,0.12,,0,88.72,M4,3359,0.24,0.22,-0.3,[Fe/H],,,96.339
25572,Kepler-446 d,Kepler-446,0,1,3,0,Transit,,,0.102,,,,,3359,0.22,,,,,,96.339
25573,Kepler-446 d,Kepler-446,0,1,3,0,Transit,5.14892826,,,,,,,3386,0.22,0.19,,,-2.248,,96.339
25574,Kepler-446 d,Kepler-446,0,1,3,0,Transit,5.1489289,0.0455,,,0,89.95,,3485,0.46,0.47,0.3,[Fe/H],,,96.339
25575,Kepler-446 d,Kepler-446,0,1,3,0,Transit,5.1489289,0.0455,,,0,89.95,,3485,0.46,0.47,0.3,[Fe/H],,,96.339
25576,Kepler-446 d,Kepler-446,0,1,3,0,Transit,5.14892346,0.0403,,,0,88.68,,3464,0.33,0.33,-0.14,[Fe/H],,,96.339
25577,Kepler-446 d,Kepler-446,0,1,3,0,Transit,5.1489289,0.0455,,,0,89.95,,3485,0.46,0.47,0.3,[Fe/H],,,96.339
25578,Kepler-446 d,Kepler-446,0,1,3,0,Transit,5.14893066,,,,,,,3386,0.22,0.19,,,-2.248,,96.339
25579,Kepler-446 d,Kepler-446,0,1,3,0,Transit,5.14892346,,,,,,,3386,0.22,0.19,,,-2.248,,96.339
25580,Kepler-447 b,Kepler-447,1,1,1,0,Transit,7.79430132,0.0769,1.65,1.37,0.123,86.55,G8 V,5493,1.05,1,0.07,[Fe/H],,,268.041
25581,Kepler-447 b,Kepler-447,0,1,1,0,Transit,7.79430132,,0.561,,,,,5615,0.9,0.96,0.01,[Fe/H],,2.69,268.041
25582,Kepler-447 b,Kepler-447,0,1,1,0,Transit,7.7942995,0.074,,,0,88.24,,5600,0.94,0.88,,,,9.7,268.041
25583,Kepler-447 b,Kepler-447,0,1,1,0,Transit,7.79430204,0.0742,,,0,87.52,,5494,0.98,0.89,0.07,[Fe/H],,,268.041
25584,Kepler-447 b,Kepler-447,0,1,1,0,Transit,7.79430304,,,,0.12,86.55,G8 V,5493,1.05,1,0.07,[Fe/H],,,268.041
25585,Kepler-447 b,Kepler-447,0,1,1,0,Transit,7.79430132,0.0704,,,0,88.24,,5555,0.87,0.76,-0.4,[Fe/H],,,268.041
25586,Kepler-447 b,Kepler-447,0,1,1,0,Transit,7.79430249,,,,,,,5461.54,0.9,0.95,0.055,[M/H],-0.19,,268.041
25587,Kepler-447 b,Kepler-447,0,1,1,0,Transit,7.79430132,0.0704,,,0,88.24,,5555,0.87,0.76,-0.4,[Fe/H],,,268.041
25588,Kepler-447 b,Kepler-447,0,1,1,0,Transit,7.79421551,,0.439,,,,,5461.54,0.9,,,,,,268.041
25589,Kepler-447 b,Kepler-447,0,1,1,0,Transit,,,1.283,,,,,5620,0.85,,,,,,268.041
25590,Kepler-447 b,Kepler-447,0,1,1,0,Transit,7.794303,,,,,,G8 V,5493,1.05,1,0.07,[Fe/H],,,268.041
25591,Kepler-447 b,Kepler-447,0,1,1,0,Transit,7.79430204,,,,,,,5461.54,0.9,0.95,0.055,[M/H],-0.19,,268.041
25592,Kepler-447 b,Kepler-447,0,1,1,0,Transit,7.79430132,0.0704,,,0,88.24,,5555,0.87,0.76,-0.4,[Fe/H],,,268.041
25593,Kepler-448 c,KOI-12,1,1,2,0,Transit Timing Variations,2500,4.2,,22,0.65,,,,1.4,1.5,,,,,399.398
25594,Kepler-449 b,Kepler-449,0,1,2,0,Transit,12.58229808,,,,,,,5649.18,,,-0.165,[M/H],,,241.949
25595,Kepler-449 b,Kepler-449,0,1,2,0,Transit,12.5822799,0.1047,,,0,88.81,,5588,1.47,0.97,-0.1,[Fe/H],,,241.949
25596,Kepler-449 b,Kepler-449,0,1,2,0,Transit,12.5822799,0.1047,,,0,88.81,,5588,1.47,0.97,-0.1,[Fe/H],,,241.949
25597,Kepler-449 b,Kepler-449,0,1,2,0,Transit,12.5822799,,0.146,,,,,5654,1.51,1.02,0.04,[Fe/H],,9.77,241.949
25598,Kepler-449 b,Kepler-449,0,1,2,0,Transit,12.5825,0.104,,,0,85.37,,5552,1.46,0.95,,,,12.1,241.949
25599,Kepler-449 b,Kepler-449,0,1,2,0,Transit,12.58229808,0.1027,,,0,89.83,,5587,1.42,0.91,-0.1,[Fe/H],,,241.949
25600,Kepler-449 b,Kepler-449,0,1,2,0,Transit,12.58219896,,,,,,,5649.18,,,-0.165,[M/H],,,241.949
25601,Kepler-449 b,Kepler-449,1,1,2,0,Transit,12.58242,,0.183,,0.03,,,5649.18,,,-0.165,[M/H],,,241.949
25602,Kepler-449 b,Kepler-449,0,1,2,0,Transit,12.5822799,0.1047,,,0,88.81,,5588,1.47,0.97,-0.1,[Fe/H],,,241.949
25603,Kepler-449 b,Kepler-449,0,1,2,0,Transit,12.5822275,,,,,,,5649.18,,,-0.165,[M/H],,,241.949
25604,Kepler-449 c,Kepler-449,0,1,2,0,Transit,33.67276962,0.2018,,,0,89.95,,5588,1.47,0.97,-0.1,[Fe/H],,,241.949
25605,Kepler-449 c,Kepler-449,0,1,2,0,Transit,33.67280658,,,,,,,5649.18,,,-0.165,[M/H],,,241.949
25606,Kepler-449 c,Kepler-449,0,1,2,0,Transit,33.67280658,0.1979,,,0,89.41,,5587,1.42,0.91,-0.1,[Fe/H],,,241.949
25607,Kepler-449 c,Kepler-449,0,1,2,0,Transit,33.67276962,,0.176,,,,,5654,1.51,1.02,0.04,[Fe/H],,9.77,241.949
25608,Kepler-449 c,Kepler-449,0,1,2,0,Transit,33.67276962,0.2018,,,0,89.95,,5588,1.47,0.97,-0.1,[Fe/H],,,241.949
25609,Kepler-449 c,Kepler-449,0,1,2,0,Transit,33.67276962,0.2018,,,0,89.95,,5588,1.47,0.97,-0.1,[Fe/H],,,241.949
25610,Kepler-449 c,Kepler-449,1,1,2,0,Transit,33.6727,,0.247,,0.05,,,5649.18,,,-0.165,[M/H],,,241.949
25611,Kepler-449 c,Kepler-449,0,1,2,0,Transit,33.67312,0.201,,,0,87.66,,5552,1.46,0.95,,,,12.1,241.949
25612,Kepler-449 c,Kepler-449,0,1,2,0,Transit,33.67267973,,,,,,,5649.18,,,-0.165,[M/H],,,241.949
25613,Kepler-449 c,Kepler-449,0,1,2,0,Transit,33.67249795,,,,,,,5649.18,,,-0.165,[M/H],,,241.949
25614,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45523906,0.02967,0.991,,,,M1 V,3814,0.55,0.58,0.2,[M/H],,,381.949
25615,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45524062,0.0294,,,0,88.81,,3820,0.55,0.56,0.12,[Fe/H],,,381.949
25616,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.4552339,0.02987,0.96,0.484,0.23,87,,3820,0.55,0.59,0.28,,,0.8,381.949
25617,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45524051,0.029,,,0,89.95,,4098,0.53,0.56,,,,13.9,381.949
25618,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45524063,,,,,,,3792,0.61,0.6,,,-1.152,,381.949
25619,Kepler-45 b,Kepler-45,1,1,1,0,Transit,2.455239,0.03,0.96,0.505,0.11,87,M,3820,0.55,0.59,0.28,[Fe/H],,0.5,381.949
25620,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45524063,0.0298,,,0,89.35,,3793,0.57,0.59,0.32,[Fe/H],,,381.949
25621,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45524122,0.02954,0.999,0.5,,87.48,,3820,0.54,0.57,0.2,[Fe/H],,,381.949
25622,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45524062,0.0294,,,0,88.81,,3820,0.55,0.56,0.12,[Fe/H],,,381.949
25623,Kepler-45 b,Kepler-45,0,1,1,0,Transit,,,1.038,,,,,3793,0.62,,,,,,381.949
25624,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45524062,,1.004,,,,,3906,0.56,0.59,0.03,[Fe/H],,4.37,381.949
25625,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45524059,,,,,,,3792,0.61,0.6,,,-1.152,,381.949
25626,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.455,,0.958,,,,,3837,0.55,0.56,0,[Fe/H],,,381.949
25627,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45523883,,1.159,,,,,3792,0.61,,,,,,381.949
25628,Kepler-45 b,Kepler-45,0,1,1,0,Transit,,,0.934,,,,,3820,0.54,0.57,,,-1.276,,381.949
25629,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45524065,,,,,,,3792,0.61,0.6,,,-1.152,,381.949
25630,Kepler-45 b,Kepler-45,0,1,1,0,Transit,2.45524062,0.0294,,,0,88.81,,3820,0.55,0.56,0.12,[Fe/H],,,381.949
25631,Kepler-450 b,Kepler-450,0,1,3,0,Transit,28.454899,0.193,,,0,88.81,,6418,1.31,1.18,,,,2.87,455.982
25632,Kepler-450 b,Kepler-450,0,1,3,0,Transit,28.45488252,,,,,,,6197.21,1.64,1.19,0.128,[M/H],0.554,,455.982
25633,Kepler-450 b,Kepler-450,0,1,3,0,Transit,28.4548844,,0.543,0.06104,,,,,1.6,1.33,,,,,455.982
25634,Kepler-450 b,Kepler-450,0,1,3,0,Transit,28.45489091,,,,,,,6197.21,1.64,1.19,0.128,[M/H],0.554,,455.982
25635,Kepler-450 b,Kepler-450,0,1,3,0,Transit,28.45492088,0.2004,,,0,89.95,,6215,1.57,1.35,0.28,[Fe/H],,,455.982
25636,Kepler-450 b,Kepler-450,0,1,3,0,Transit,,,0.561,,,,,6298,1.63,,,,,,455.982
25637,Kepler-450 b,Kepler-450,0,1,3,0,Transit,28.45490735,,,,,,,6197.21,1.64,1.19,0.128,[M/H],0.554,,455.982
25638,Kepler-450 b,Kepler-450,0,1,3,0,Transit,28.45489091,0.1993,,,0,88.82,,6206,1.57,1.3,0.22,[Fe/H],,,455.982
25639,Kepler-450 b,Kepler-450,0,1,3,0,Transit,28.45492088,0.2004,,,0,89.95,,6215,1.57,1.35,0.28,[Fe/H],,,455.982
25640,Kepler-450 b,Kepler-450,0,1,3,0,Transit,28.45492088,0.2004,,,0,89.95,,6215,1.57,1.35,0.28,[Fe/H],,,455.982
25641,Kepler-450 b,Kepler-450,0,1,3,0,Transit,28.54105573,,0.641,,,,,6197.21,1.64,,,,,,455.982
25642,Kepler-450 b,Kepler-450,1,1,3,0,Transit,28.454851,,0.548,,0.02,,,6197.21,1.64,1.19,0.128,[M/H],0.554,,455.982
25643,Kepler-450 b,Kepler-450,0,1,3,0,Transit,28.45492088,,0.531,,,,,6263,1.56,1.3,0.2,[Fe/H],,3.02,455.982
25644,Kepler-450 c,Kepler-450,0,1,3,0,Transit,15.4130812,,,,,,,6197.21,1.64,1.19,0.128,[M/H],0.554,,455.982
