a1,f1,megno1,final_e1,final_theta1,a2,f2,megno2,final_e2,final_theta2,stable1,stable2
0.9922448979591838,1.421196676623954,10.0,1.9139222931643791,31.629435190155586,0.9922448979591838,1.421196676623954,10.0,15.944636898909769,148.7279341738634,0,0
0.9922448979591838,1.442568055219803,10.0,0.9714554155266265,58.76077495022055,0.9922448979591838,1.442568055219803,10.0,1.387418673377912,21.055405114576896,0,0
0.9922448979591838,1.463939433815652,10.0,1.3068470311460485,72.5104168135704,0.9922448979591838,1.463939433815652,10.0,1.8723517184034728,13.387300733762912,0,0
0.9922448979591838,1.4853108124115009,10.0,0.9165607004256958,13.245497284952684,0.9922448979591838,1.4853108124115009,10.0,220.53367439746745,75.09144199368401,0,0
0.9922448979591838,1.50668219100735,10.0,0.9421445821787248,42.24430411661292,0.9922448979591838,1.50668219100735,10.0,4.49459505711595,262.4789075752783,0,0
0.9922448979591838,1.5280535696031987,10.0,0.9498403345966202,33.97936614862937,0.9922448979591838,1.5280535696031987,10.0,3.7254685930468745,103.7507835062611,0,0
0.9922448979591838,1.5494249481990479,10.0,1.9829775869238115,155.41053247187267,0.9922448979591838,1.5494249481990479,10.0,0.997789831232619,178.13604991819787,0,0
0.9922448979591838,1.5707963267948963,10.0,2.5090369828489796,16.297495119770932,0.9922448979591838,1.5707963267948963,10.0,102.05975204682125,194.00590450455184,0,0
0.9943673469387754,0.5235987755982988,10.0,1.0765251007520669,278.93074376404155,0.9943673469387754,0.5235987755982988,10.0,0.9832449520212448,186.4572912432384,0,0
0.9943673469387754,0.5449701541941476,10.0,1.3431193140101343,168.44532825355168,0.9943673469387754,0.5449701541941476,10.0,6.586073257479976,101.56116950735176,0,0
0.9943673469387754,0.5663415327899968,10.0,0.9131225215552381,171.5965500920533,0.9943673469387754,0.5663415327899968,10.0,0.982851372023366,152.92979554291588,0,0
0.9943673469387754,0.5877129113858456,10.0,1.257284368643815,171.14078036808496,0.9943673469387754,0.5877129113858456,10.0,5.255765036107403,68.18990404944567,0,0
0.9943673469387754,0.6090842899816946,10.0,1.3529161892581028,187.4806483142296,0.9943673469387754,0.6090842899816946,10.0,1.011772464562101,62.47487460388522,0,0
0.9943673469387754,0.6304556685775435,10.0,2.3448719476145814,112.84270312959524,0.9943673469387754,0.6304556685775435,10.0,31.977261371340283,81.79438572293913,0,0
0.9943673469387754,0.6518270471733925,10.0,114.75794079988881,131.55826135646876,0.9943673469387754,0.6518270471733925,10.0,290.6275705044151,172.9077666437032,0,0
0.9943673469387754,0.6731984257692414,10.0,2.2643456088357743,110.4776489247794,0.9943673469387754,0.6731984257692414,10.0,1.1409672093577636,132.77180154954146,0,0
0.9943673469387754,0.6945698043650903,10.0,1.3057037399677625,162.58968622142763,0.9943673469387754,0.6945698043650903,10.0,349.90051659790794,0.5507632521833368,0,0
0.9943673469387754,0.7159411829609392,10.0,0.9360911871856218,14.22416905772193,0.9943673469387754,0.7159411829609392,10.0,1.2848252165391107,118.13271043785736,0,0
0.9943673469387754,0.7373125615567881,10.0,0.9120084618256843,274.45287550903373,0.9943673469387754,0.7373125615567881,10.0,1.3610259851971336,148.37907232819043,0,0
